,link,name,age,amount_bricks,product_number,price,rating_amount,rating_worth,rating_fun
0,https://www.lego.com/da-dk/product/empire-state-building-21046,Empire State Building,16,1767,210462104621046,899,0,0.0,0.0
1,https://www.lego.com/da-dk/product/statue-of-liberty-21042,Frihedsgudinden,16,1685,210422104221042,899,0,0.0,0.0
2,https://www.lego.com/da-dk/product/taj-mahal-21056,Taj Mahal,18,2022,210562105621056,899,0,0.0,0.0
3,https://www.lego.com/da-dk/product/trafalgar-square-21045,Trafalgar Square,12,1197,210452104521045,749,0,0.0,0.0
4,https://www.lego.com/da-dk/product/the-white-house-21054,Det Hvide Hus,18,1483,210542105421054,719,0,0.0,0.0
5,https://www.lego.com/da-dk/product/tokyo-21051,Tokyo,16,547,210512105121051,549,0,0.0,0.0
6,https://www.lego.com/da-dk/product/new-york-city-21028,New York City,12,598,210282102821028,449,0,0.0,0.0
7,https://www.lego.com/da-dk/product/paris-21044,Paris,12,649,210442104421044,449,0,0.0,0.0
8,https://www.lego.com/da-dk/product/london-21034,London,12,468,210342103421034,399,4.0,4.1,4.0
9,https://www.lego.com/da-dk/product/dubai-21052,Dubai,16,740,210522105221052,549,0,0.0,0.0
10,https://www.lego.com/da-dk/product/san-francisco-21043,San Francisco,12,565,210432104321043,449,0,0.0,0.0
11,https://www.lego.com/da-dk/product/burj-khalifa-21055,Burj Khalifa,16,333,210552105521055,399,2.2,2.2,2.2
12,https://www.lego.com/da-dk/product/batman-40386,Batman™,8,115,403864038640386,150,0,0.0,0.0
13,https://www.lego.com/da-dk/product/the-joker-40428,Jokeren,8,170,404284042840428,150,0,0.0,0.0
14,https://www.lego.com/da-dk/product/batman-vs-the-penguin-harley-quinn-40453,Batman™ mod Pingvinen og Harley Quinn™,6,63,404534045340453,130,0,0.0,0.0
15,https://www.lego.com/da-dk/product/1989-batmobile-76139,1989 Batmobile™,16,3306,761397613976139,1899,4.4,4.4,4.4
16,https://www.lego.com/da-dk/product/1989-batwing-76161,1989-batving​e,18,2363,761617616176161,1599,3.9,4.1,3.9
17,https://www.lego.com/da-dk/product/mobile-bat-base-76160,Mobil batbase,8,743,761607616076160,799,0,0.0,0.0
18,https://www.lego.com/da-dk/product/batman-cowl-76182,Batman™-hætte,18,410,761827618276182,549,0,0.0,0.0
19,https://www.lego.com/da-dk/product/joker-s-trike-chase-76159,Jagt på Jokerens trehjuler,7,440,761597615976159,449,0,0.0,0.0
20,https://www.lego.com/da-dk/product/batcave-10919,Bathulen,2,33,109191091910919,349,0,0.0,0.0
21,https://www.lego.com/da-dk/product/batman-classic-tv-series-batmobile-76188,Batmobile™ fra klassisk Batman™ tv-serie,7,345,761887618876188,300,0,0.0,0.0
22,https://www.lego.com/da-dk/product/batman-vs-the-joker-batmobile-chase-76180,Batman™ mod Jokeren: Batmobile™-jagt,4,136,761807618076180,270,0,0.0,0.0
23,https://www.lego.com/da-dk/product/lego-dc-batman-batmobile-tumbler-76240,LEGO® DC Batman™ Batmobile™-Tumbler,18,2049,762407624076240,1799,0,0.0,0.0
24,https://www.lego.com/da-dk/product/classic-tv-series-batman-cowl-76238,Batman™-hætte fra klassisk tv-serie,18,372,762387623876238,549,0,0.0,0.0
25,https://www.lego.com/da-dk/product/lego-dc-batman-batmobile-tumbler-scarecrow-showdown-76239,LEGO® DC Batman™ Batmobile™-Tumbler: Opgør med Scarecrow™,8,422,762397623976239,349,0,0.0,0.0
26,https://www.lego.com/da-dk/product/lego-batman-movie-hq-luggage-tag-5005296,LEGO BATMAN: FILMEN HQ BAGAGEMÆRKE,6,90,0,0,0,0.0,0.0
27,https://www.lego.com/da-dk/product/lego-batman-movie-luggage-tag-5005273,LEGO BATMAN: FILMEN – BAGAGEMÆRKE,6,90,0,0,0,0.0,0.0
28,https://www.lego.com/da-dk/product/batboat-the-penguin-pursuit-76158,Batbåd – Pingvinjagten!,4,54,761587615876158,100,0,0.0,0.0
29,https://www.lego.com/da-dk/product/boost-creative-toolbox-17101,Kreativ værktøjskasse,7,847,171011710117101,1399,0,0.0,0.0
30,https://www.lego.com/da-dk/product/harry-hermione-ron-hagrid-40495,"Harry, Hermione, Ron og Hagrid™",10,466,404954049540495,230,0,0.0,0.0
31,https://www.lego.com/da-dk/product/scrooge-mcduck-huey-dewey-louie-40477,"Joakim von And, Rip, Rap og Rup",10,340,404774047740477,230,0,0.0,0.0
32,https://www.lego.com/da-dk/product/voldemort-nagini-bellatrix-40496,"Voldemort™, Nagini og Bellatrix",10,344,404964049640496,230,0,0.0,0.0
33,https://www.lego.com/da-dk/product/belle-bottom-kevin-and-bob-40421,"Belle Bottom, Kevin og Bob",10,309,404214042140421,200,0,0.0,0.0
34,https://www.lego.com/da-dk/product/gru-stuart-and-otto-40420,"Gru, Stuart og Otto",10,244,404204042040420,200,0,0.0,0.0
35,https://www.lego.com/da-dk/product/chinese-new-year-pandas-40466,Kinesisk nytår – pandaer,10,249,404664046640466,200,0,0.0,0.0
